"Delete Plan","Delete Plan"
"Are you sure you want to do this?","Are you sure you want to do this?"
Reset,Reset
"Save and Continue Edit","Save and Continue Edit"
Save,Save
"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
"If your customer adds any subscription product to the cart, only gateway specific payment methods will be available at checkout. Make sure selected payment gateways are properly configured by going to <a href='%1' target='_blank'>Stores > Configuration > Sales > Payment Methods.</a>","If your customer adds any subscription product to the cart, only gateway specific payment methods will be available at checkout. Make sure selected payment gateways are properly configured by going to <a href='%1' target='_blank'>Stores > Configuration > Sales > Payment Methods.</a>"
"Select one or multiple plans your customers would be able to choose from when subscribing to products. If you need to add more plans or modify existing ones, please visit <a href='%1' target='_blank'>Sales > Amasty Subscriptions > Subscription Plans</a>","Select one or multiple plans your customers would be able to choose from when subscribing to products. If you need to add more plans or modify existing ones, please visit <a href='%1' target='_blank'>Sales > Amasty Subscriptions > Subscription Plans</a>"
"Initial Subscription Fee","Initial Subscription Fee"
"Subscription Plan has been deleted.","Subscription Plan has been deleted."
"This Subscription Plan does not exist.","This Subscription Plan does not exist."
"Edit Subscription Plan ""%1""","Edit Subscription Plan ""%1"""
"New Subscription Plan","New Subscription Plan"
"Subscription Plans","Subscription Plans"
"The Subscription Plan has been saved.","The Subscription Plan has been saved."
"The Subscription Plan has not been saved. Please review the error log for the details.","The Subscription Plan has not been saved. Please review the error log for the details."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"Something went wrong while updating the product(s) status.","Something went wrong while updating the product(s) status."
"Transactions Log","Transactions Log"
"My Subscriptions","My Subscriptions"
"Payment method adapter is not enabled","Payment method adapter is not enabled"
"Fixed Amount","Fixed Amount"
"Percent of Product Price","Percent of Product Price"
Custom,Custom
"Once a day","Once a day"
"Once a week","Once a week"
"Once a month","Once a month"
"Once a year","Once a year"
"Let your customer decide","Let your customer decide"
Day,Day
Week,Week
Month,Month
Year,Year
Disable,Disable
Enable,Enable
Suspended,Suspended
Active,Active
Failed,Failed
Success,Success
"Additional Action Required","Additional Action Required"
"Do Nothing","Do Nothing"
"Pause Subscription","Pause Subscription"
"Cancel Subscription","Cancel Subscription"
"Billing Cycle & Delivery","Billing Cycle & Delivery"
Yes,Yes
No,No
"Free Trials","Free Trials"
"Number of Trial Days","Number of Trial Days"
"Initial Fee (excl. tax)","Initial Fee (excl. tax)"
"Discounted Cycles","Discounted Cycles"
"Free Shipping on This Product","Free Shipping on This Product"
"Subscription Start Date","Subscription Start Date"
"N/A (until failed or canceled)","N/A (until failed or canceled)"
"Subscription End Date","Subscription End Date"
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"Yes, use global subscription settings","Yes, use global subscription settings"
"Yes, use custom subscription settings","Yes, use custom subscription settings"
"Subscription Start Date incorrect","Subscription Start Date incorrect"
"Some of the product options are invalid","Some of the product options are invalid"
"Subscription End Date incorrect","Subscription End Date incorrect"
"End by a cycle should be greater than 1","End by a cycle should be greater than 1"
"Unable to save address with ID %1. Error: %2","Unable to save address with ID %1. Error: %2"
"Unable to save new address. Error: %1","Unable to save new address. Error: %1"
"Address with specified ID ""%1"" not found.","Address with specified ID ""%1"" not found."
"Address with specified subscription id ""%1"" not found.","Address with specified subscription id ""%1"" not found."
"Unable to remove address with ID %1. Error: %2","Unable to remove address with ID %1. Error: %2"
"Unable to remove address. Error: %1","Unable to remove address. Error: %1"
"Unable to save discount with ID %1. Error: %2","Unable to save discount with ID %1. Error: %2"
"Unable to save new discount. Error: %1","Unable to save new discount. Error: %1"
"Discount with specified ID ""%1"" not found.","Discount with specified ID ""%1"" not found."
"Unable to remove discount with ID %1. Error: %2","Unable to remove discount with ID %1. Error: %2"
"Unable to remove discount. Error: %1","Unable to remove discount. Error: %1"
"Unable to save fee with ID %1. Error: %2","Unable to save fee with ID %1. Error: %2"
"Unable to save new fee. Error: %1","Unable to save new fee. Error: %1"
"Fee with specified ID ""%1"" not found.","Fee with specified ID ""%1"" not found."
"Unable to remove fee with ID %1. Error: %2","Unable to remove fee with ID %1. Error: %2"
"Unable to remove fee. Error: %1","Unable to remove fee. Error: %1"
"Unable to save subscription plan with ID %1. Error: %2","Unable to save subscription plan with ID %1. Error: %2"
"Unable to save subscription plan. Error: %1","Unable to save subscription plan. Error: %1"
"Subscription plan with specified ID ""%1"" not found.","Subscription plan with specified ID ""%1"" not found."
"Unable to remove subscription plan with ID %1. Error: %2","Unable to remove subscription plan with ID %1. Error: %2"
"Unable to remove subscription plan. Error: %1","Unable to remove subscription plan. Error: %1"
"Unable to save subscription with ID %1. Error: %2","Unable to save subscription with ID %1. Error: %2"
"Unable to save new subscription. Error: %1","Unable to save new subscription. Error: %1"
"Subscription with specified ID ""%1"" not found.","Subscription with specified ID ""%1"" not found."
"Unable to remove subscription with ID %1. Error: %2","Unable to remove subscription with ID %1. Error: %2"
"Unable to remove subscription. Error: %1","Unable to remove subscription. Error: %1"
"Unable to save transaction with ID %1. Error: %2","Unable to save transaction with ID %1. Error: %2"
"Unable to save new transaction. Error: %1","Unable to save new transaction. Error: %1"
"Transaction with specified ID ""%1"" not found.","Transaction with specified ID ""%1"" not found."
"Unable to remove transaction with ID %1. Error: %2","Unable to remove transaction with ID %1. Error: %2"
"Unable to remove transaction. Error: %1","Unable to remove transaction. Error: %1"
"Every %1 days","Every %1 days"
"Every %1 weeks","Every %1 weeks"
"Every %1 months","Every %1 months"
"Every %1 years","Every %1 years"
"Every %1 %2","Every %1 %2"
"Subscription not active","Subscription not active"
"Yes, subscription only","Yes, subscription only"
"Go to <a href='%1' target='_blank'>Stores > Configuration</a> to check other subscription settings.","Go to <a href='%1' target='_blank'>Stores > Configuration</a> to check other subscription settings."
"Select one or multiple plans your customers would be able to choose from when subscribing to the product. If you need to add more plans or modify existing ones, please visit <a href='%1' target='_blank'>Sales > Amasty Subscriptions > Subscription Plans</a>.","Select one or multiple plans your customers would be able to choose from when subscribing to the product. If you need to add more plans or modify existing ones, please visit <a href='%1' target='_blank'>Sales > Amasty Subscriptions > Subscription Plans</a>."
"There are configurations issues with one or more payment methods that may preventSubscriptions & Recurring Payments extension from working as expected.","There are configurations issues with one or more payment methods that may preventSubscriptions & Recurring Payments extension from working as expected."
"This is Subscriptional Product","This is Subscriptional Product"
